DC_Bias,DC_Current,AC_Mag,AC_Phase,AC_Input,AC_Output,Time
-0.2,-0.659341,0.00010263072843486839,-155.85759916945176,"[-0.00305176 -0.00366211 -0.00427246 ... -0.01013184 -0.00976562
 -0.00927734]","[-0.01452637 -0.0144043  -0.01416016 ...  0.00939941  0.00976562
  0.01000977]",1.849153757095337
-0.0888888888888889,-0.26862,5.811971421978772e-05,-173.02712581276828,"[-0.01123047 -0.0111084  -0.0111084  ...  0.01000977  0.01037598
  0.01074219]","[-0.00073242 -0.00024414  0.00036621 ...  0.01147461  0.01098633
  0.01049805]",3.689882278442383
0.0222222222222222,-0.26862,4.3321795383704125e-05,-94.19162764657155,"[-0.00048828  0.          0.00061035 ...  0.01037598  0.01013184
  0.00976562]","[ 0.01391602  0.01391602  0.01379395 ... -0.00524902 -0.00561523
 -0.00610352]",5.518627166748047
0.1333333333333333,-0.3663,3.246040888121513e-05,-124.90475304390169,[0.00439453 0.00488281 0.00549316 ... 0.00915527 0.00878906 0.00830078],"[ 0.01269531  0.01257324  0.01245117 ... -0.01074219 -0.0111084
 -0.01147461]",7.401305198669434
0.2444444444444444,-1.050061,6.418733301109944e-05,-170.10798390248848,"[-0.01171875 -0.01147461 -0.0111084  ...  0.01159668  0.01171875
  0.01184082]",[0.00915527 0.00952148 0.01000977 ... 0.0012207  0.00073242 0.00012207],9.237689018249512
0.35555555555555557,-0.46398,0.00010103720919705492,-104.24528764650837,"[ 0.01245117  0.01245117  0.0123291  ... -0.01000977 -0.01037598
 -0.01086426]","[-0.00354004 -0.00402832 -0.00463867 ... -0.01000977 -0.00952148
 -0.00915527]",11.075196027755737
0.4666666666666666,-0.46398,0.00012806649047183074,-123.7797437837382,"[ 0.0078125   0.00732422  0.00683594 ... -0.01098633 -0.01098633
 -0.01098633]","[-0.01245117 -0.01281738 -0.01318359 ...  0.00158691  0.00219727
  0.00280762]",12.906227111816406
0.5777777777777777,0.024426,0.0001207225694641126,-136.9782084493394,"[ 0.01123047  0.01074219  0.01037598 ... -0.01318359 -0.01330566
 -0.01330566]","[-0.00976562 -0.01013184 -0.01049805 ... -0.00439453 -0.00390625
 -0.0032959 ]",14.744427680969238
0.6888888888888889,-0.26862,6.305540278167556e-05,-151.37873419334963,"[-0.01013184 -0.00964355 -0.00915527 ...  0.01391602  0.01391602
  0.01391602]","[ 0.01098633  0.01135254  0.01171875 ... -0.00231934 -0.00280762
 -0.00341797]",16.594521522521973
0.8,0.122106,0.00011117794812897409,-160.08840737066495,"[-0.00427246 -0.00476074 -0.00524902 ... -0.00634766 -0.00585938
 -0.00524902]","[-0.01025391 -0.01000977 -0.00964355 ...  0.01379395  0.01391602
  0.01416016]",18.436776638031006
