DC_Bias,DC_Current,AC_Mag,AC_Phase,AC_Input,AC_Output,Time
-0.2,-0.46398,0.007850609719753265,-145.50879162709836,"[-0.01135254 -0.01135254 -0.01147461 ... -0.01159668 -0.01159668
 -0.01147461]","[-0.00793457 -0.00793457 -0.00793457 ... -0.0078125  -0.00793457
 -0.0078125 ]",1.8204967975616455
-0.0888888888888889,-0.46398,0.0078350231051445,-145.58702908239857,"[-0.01147461 -0.01147461 -0.01147461 ... -0.01245117 -0.01208496
 -0.01220703]","[-0.00793457 -0.0078125  -0.00793457 ... -0.00854492 -0.00830078
 -0.00854492]",3.6502492427825928
0.0222222222222222,-0.3663,0.007809199392795563,-145.63609098046354,"[-0.01135254 -0.01135254 -0.01135254 ... -0.01135254 -0.01135254
 -0.01147461]","[-0.00769043 -0.00769043 -0.00769043 ... -0.0078125  -0.0078125
 -0.00793457]",5.483043432235718
0.1333333333333333,-0.46398,0.007818184792995453,-145.5872565715407,"[-0.01159668 -0.01159668 -0.01159668 ... -0.01281738 -0.01281738
 -0.01281738]","[-0.00805664 -0.00817871 -0.00805664 ... -0.00878906 -0.00878906
 -0.00878906]",7.296896934509277
0.2444444444444444,-0.952381,0.007818847894668579,-145.57918249667946,"[-0.01269531 -0.01281738 -0.01281738 ... -0.01147461 -0.01135254
 -0.01147461]","[-0.00878906 -0.00878906 -0.00878906 ... -0.0078125  -0.0078125
 -0.0078125 ]",9.140630722045898
0.35555555555555557,-0.26862,0.007805772125720978,-145.61682333667366,"[-0.01147461 -0.01147461 -0.01147461 ... -0.01135254 -0.01135254
 -0.01135254]","[-0.0078125  -0.00793457 -0.0078125  ... -0.0078125  -0.00769043
 -0.00769043]",10.973599433898926
0.4666666666666666,-0.3663,0.007822476327419281,-145.59294096031442,"[-0.01159668 -0.01147461 -0.01159668 ... -0.01123047 -0.01123047
 -0.01123047]","[-0.0078125  -0.0078125  -0.00793457 ... -0.00769043 -0.00769043
 -0.00769043]",12.813984632492065
0.5777777777777777,-0.3663,0.007820919156074524,-145.66600660210509,"[-0.0098877  -0.00964355 -0.00976562 ... -0.01245117 -0.01269531
 -0.01257324]","[-0.00671387 -0.00646973 -0.0065918  ... -0.00854492 -0.00878906
 -0.00854492]",14.632726669311523
0.6888888888888889,-0.3663,0.00779753178358078,-145.73574897590123,"[-0.01147461 -0.01147461 -0.01147461 ... -0.01269531 -0.01293945
 -0.01306152]","[-0.00793457 -0.0078125  -0.0078125  ... -0.00878906 -0.00891113
 -0.00891113]",16.457558631896973
0.8,-0.3663,0.0077940672636032104,-145.7414179793837,"[-0.00976562 -0.0098877  -0.01000977 ... -0.01147461 -0.01147461
 -0.01135254]","[-0.0065918  -0.0065918  -0.00671387 ... -0.00769043 -0.0078125
 -0.00769043]",18.28636646270752
0.8,-0.3663,0.007818087935447693,-145.58999402081415,"[-0.01220703 -0.01257324 -0.01257324 ... -0.01147461 -0.01147461
 -0.01147461]","[-0.00854492 -0.00866699 -0.00866699 ... -0.00793457 -0.00793457
 -0.00793457]",20.10434603691101
0.6888888888888889,-0.3663,0.007830999791622162,-145.51838342128656,"[-0.01147461 -0.01135254 -0.01147461 ... -0.01135254 -0.01123047
 -0.01123047]","[-0.0078125  -0.00769043 -0.0078125  ... -0.0078125  -0.0078125
 -0.0078125 ]",21.94614052772522
0.5777777777777778,-0.26862,0.007856227457523346,-145.41607688463498,"[-0.01135254 -0.01147461 -0.01147461 ... -0.01135254 -0.01135254
 -0.01147461]","[-0.00793457 -0.00793457 -0.00793457 ... -0.00793457 -0.0078125
 -0.0078125 ]",23.789942741394043
0.46666666666666673,-0.46398,0.007826969027519226,-145.56217208792876,"[-0.01245117 -0.01281738 -0.01306152 ... -0.01135254 -0.01135254
 -0.01135254]","[-0.00866699 -0.00891113 -0.0090332  ... -0.0078125  -0.00769043
 -0.00769043]",25.613613605499268
0.3555555555555556,-0.3663,0.007839158177375793,-145.5481315839306,"[-0.01123047 -0.01135254 -0.01135254 ... -0.01147461 -0.01159668
 -0.01147461]","[-0.00769043 -0.00769043 -0.00769043 ... -0.0078125  -0.00793457
 -0.0078125 ]",27.44370198249817
0.24444444444444446,-0.3663,0.007839225232601166,-145.58930218412922,"[-0.01147461 -0.01147461 -0.01159668 ... -0.01159668 -0.01171875
 -0.01208496]","[-0.0078125  -0.0078125  -0.00793457 ... -0.00805664 -0.00805664
 -0.00830078]",29.278791189193726
0.13333333333333341,-0.3663,0.00782979279756546,-145.5499852476489,"[-0.01135254 -0.01147461 -0.01159668 ... -0.01147461 -0.01147461
 -0.01147461]","[-0.0078125  -0.00793457 -0.00793457 ... -0.0078125  -0.00805664
 -0.00793457]",31.115468978881836
0.022222222222222365,-1.050061,0.007823817431926727,-145.5981700871208,"[-0.00976562 -0.0098877  -0.01000977 ... -0.01245117 -0.0123291
 -0.0123291 ]","[-0.00671387 -0.00671387 -0.00683594 ... -0.00854492 -0.00842285
 -0.00842285]",32.94550323486328
-0.0888888888888888,-0.3663,0.007806636393070221,-145.55659211107877,"[-0.01123047 -0.01135254 -0.01135254 ... -0.01123047 -0.01135254
 -0.01123047]","[-0.00769043 -0.0078125  -0.0078125  ... -0.00756836 -0.0078125
 -0.00769043]",34.7729594707489
-0.2,-0.46398,0.007809430360794067,-145.62753217718657,"[-0.0098877  -0.00976562 -0.0098877  ... -0.01220703 -0.01220703
 -0.01159668]","[-0.0065918  -0.0065918  -0.0065918  ... -0.00842285 -0.00830078
 -0.0078125 ]",36.59432315826416
