bias,freq,Zmag,phase,Zreal,Zimag,DC_Current,AC_Mag,AC_Phase,AC_Ch1,AC_Ch2
-0.2,10.0,20.014036349555212,-61.47484152163017,9.55759500959306,-17.58448260921882,0.219786,0.0004996493373622876,-61.47484152163017,"[ 0.00268555  0.00280762  0.00292969 ... -0.02246094 -0.02246094
 -0.02246094]",[0.02233887 0.02233887 0.02233887 ... 0.00488281 0.00500488 0.00524902]
-0.2,21.544346900318832,51.89999381465276,12.590086594356627,50.65203203676458,11.312869154532349,-0.26862,0.00019267825032335037,12.590086594356627,[0.03710938 0.03735352 0.03759766 ... 0.0480957  0.0480957  0.04797363],"[ 0.03259277  0.03234863  0.03210449 ... -0.00048828 -0.00097656
 -0.00134277]"
-0.2,46.41588833612777,59.03733022409411,176.9415137464429,-58.95323692594788,3.149954911072806,-0.3663,0.00016938435329040056,176.9415137464429,[0.02697754 0.02648926 0.02587891 ... 0.03771973 0.0378418  0.03796387],"[-0.03051758 -0.03100586 -0.03137207 ...  0.00524902  0.0045166
  0.00378418]"
-0.2,100.0,89.34098023151854,-149.29525593543215,-76.81626784900365,-45.61876524500323,-0.26862,0.00011193071728210239,-149.29525593543215,"[ 0.00292969  0.00244141  0.00183105 ... -0.01281738 -0.01245117
 -0.01208496]","[-0.01159668 -0.01159668 -0.01159668 ...  0.00915527  0.00964355
  0.01000977]"
-0.2,215.44346900318823,133.8160151245884,-127.2492057258463,-80.99655282655056,-106.51893885145438,-0.46398,7.472947083867036e-05,-127.2492057258463,[0.00292969 0.00292969 0.00305176 ... 0.00085449 0.00061035 0.00036621],"[ 0.00012207 -0.00012207 -0.00036621 ... -0.00280762 -0.00280762
 -0.00268555]"
-0.2,464.15888336127773,162.72623964022353,-134.07159782481438,-113.1853307485178,-116.91411365098776,-0.3663,6.145290410513578e-05,-134.07159782481438,"[ 0.00073242  0.00061035  0.00048828 ... -0.00061035 -0.00073242
 -0.00073242]","[-0.00048828 -0.00061035 -0.00061035 ... -0.00048828 -0.00036621
 -0.00024414]"
-0.2,1000.0,346.93745976046796,-135.3246481733769,-246.70792245109564,-243.9278622562632,-0.3663,2.8823638724121013e-05,-135.3246481733769,"[ 0.          0.          0.00012207 ...  0.         -0.00012207
 -0.00012207]",[0.00024414 0.00024414 0.00012207 ... 0.00012207 0.00012207 0.00012207]
-0.2,2154.4346900318824,634.1833605591567,-130.80390802687134,-414.42121836720065,-480.0454026205754,-0.659341,1.576831027415012e-05,-130.80390802687134,[0.00012207 0.00012207 0.00012207 ... 0.00012207 0.00012207 0.00012207],"[-0.00012207 -0.00024414 -0.00024414 ...  0.00036621  0.00036621
  0.00036621]"
-0.2,4641.588833612777,1132.1292287624942,-126.00960725249064,-665.6024334289108,-915.8001917623037,-0.3663,8.832913898823002e-06,-126.00960725249064,[0.00036621 0.00036621 0.00036621 ... 0.         0.         0.        ],[0.00048828 0.00048828 0.00048828 ... 0.         0.         0.        ]
-0.2,10000.0,12745.125311342425,-120.21727395738432,-6414.372934174931,-11013.357302073942,-0.659341,7.846137056887607e-07,-120.21727395738432,"[ 0.00024414  0.00024414  0.00024414 ... -0.00085449 -0.00085449
 -0.00085449]","[ 0.00012207  0.00012207  0.00012207 ... -0.00048828 -0.00048828
 -0.00048828]"
