time,dc_input,ac_input,output_current,output_voltage
1.2367169857025146,-0.2,"[-0.01147461 -0.01147461 -0.01135254 ... -0.0111084  -0.01123047
 -0.01123047]","[-0.00793457 -0.00793457 -0.00793457 ... -0.00769043 -0.00769043
 -0.00769043]","[-0.01147461 -0.01147461 -0.01135254 ... -0.0111084  -0.01123047
 -0.01123047]"
1.2305271625518799,-0.179976,"[-0.01147461 -0.01147461 -0.01147461 ... -0.00976562 -0.0098877
 -0.00976562]","[-0.00793457 -0.00793457 -0.00793457 ... -0.00671387 -0.00671387
 -0.0065918 ]","[-0.01147461 -0.01147461 -0.01147461 ... -0.00976562 -0.0098877
 -0.00976562]"
1.228376865386963,-0.159463,"[-0.01159668 -0.01135254 -0.01135254 ... -0.00976562 -0.00964355
 -0.0098877 ]","[-0.00805664 -0.0078125  -0.00793457 ... -0.0065918  -0.0065918
 -0.00671387]","[-0.01159668 -0.01135254 -0.01135254 ... -0.00976562 -0.00964355
 -0.0098877 ]"
1.227062702178955,-0.13895,"[-0.01062012 -0.01062012 -0.01086426 ... -0.01147461 -0.01147461
 -0.01147461]","[-0.00720215 -0.00720215 -0.00756836 ... -0.00805664 -0.00793457
 -0.00793457]","[-0.01062012 -0.01062012 -0.01086426 ... -0.01147461 -0.01147461
 -0.01147461]"
1.2631831169128418,-0.118437,"[-0.01159668 -0.01159668 -0.01159668 ... -0.00976562 -0.00976562
 -0.0098877 ]","[-0.00793457 -0.00793457 -0.00793457 ... -0.00671387 -0.00671387
 -0.00671387]","[-0.01159668 -0.01159668 -0.01159668 ... -0.00976562 -0.00976562
 -0.0098877 ]"
1.2388935089111328,-0.098413,"[-0.01147461 -0.01123047 -0.01135254 ... -0.01000977 -0.01000977
 -0.01000977]","[-0.00793457 -0.00769043 -0.00793457 ... -0.00683594 -0.00683594
 -0.0065918 ]","[-0.01147461 -0.01123047 -0.01135254 ... -0.01000977 -0.01000977
 -0.01000977]"
1.224599838256836,-0.0779,"[-0.01159668 -0.01159668 -0.01159668 ... -0.01135254 -0.01135254
 -0.01123047]","[-0.00793457 -0.00793457 -0.00793457 ... -0.0078125  -0.0078125
 -0.00769043]","[-0.01159668 -0.01159668 -0.01159668 ... -0.01135254 -0.01135254
 -0.01123047]"
1.2243363857269287,-0.057387,"[-0.0111084  -0.0111084  -0.01123047 ... -0.01147461 -0.01135254
 -0.01135254]","[-0.0078125  -0.00769043 -0.0078125  ... -0.00793457 -0.0078125
 -0.0078125 ]","[-0.0111084  -0.0111084  -0.01123047 ... -0.01147461 -0.01135254
 -0.01135254]"
1.2323365211486816,-0.036874,"[-0.01135254 -0.01147461 -0.01135254 ... -0.01135254 -0.01135254
 -0.01135254]","[-0.0078125  -0.00805664 -0.0078125  ... -0.0078125  -0.00793457
 -0.0078125 ]","[-0.01135254 -0.01147461 -0.01135254 ... -0.01135254 -0.01135254
 -0.01135254]"
1.2389652729034424,-0.016361,"[-0.01147461 -0.01147461 -0.01135254 ... -0.01062012 -0.01086426
 -0.01098633]","[-0.00793457 -0.00793457 -0.00793457 ... -0.00732422 -0.00756836
 -0.00769043]","[-0.01147461 -0.01147461 -0.01135254 ... -0.01062012 -0.01086426
 -0.01098633]"
1.2141242027282715,0.003663,"[-0.01196289 -0.01208496 -0.0123291  ... -0.01147461 -0.01147461
 -0.01147461]","[-0.00830078 -0.00842285 -0.00866699 ... -0.00793457 -0.00793457
 -0.00793457]","[-0.01196289 -0.01208496 -0.0123291  ... -0.01147461 -0.01147461
 -0.01147461]"
1.229917287826538,0.024176,"[-0.01037598 -0.0098877  -0.00964355 ... -0.01281738 -0.01269531
 -0.01269531]","[-0.00708008 -0.00671387 -0.0065918  ... -0.00878906 -0.00878906
 -0.00878906]","[-0.01037598 -0.0098877  -0.00964355 ... -0.01281738 -0.01269531
 -0.01269531]"
1.2268834114074707,0.044689,"[-0.01245117 -0.01245117 -0.01245117 ... -0.01147461 -0.01159668
 -0.01147461]","[-0.00866699 -0.00866699 -0.00866699 ... -0.0078125  -0.00793457
 -0.0078125 ]","[-0.01245117 -0.01245117 -0.01245117 ... -0.01147461 -0.01159668
 -0.01147461]"
1.2183709144592285,0.065202,"[-0.0123291  -0.01220703 -0.01220703 ... -0.01147461 -0.01147461
 -0.01147461]","[-0.00854492 -0.00842285 -0.00842285 ... -0.00805664 -0.00793457
 -0.00793457]","[-0.0123291  -0.01220703 -0.01220703 ... -0.01147461 -0.01147461
 -0.01147461]"
1.225886344909668,0.085226,"[-0.01281738 -0.01281738 -0.01281738 ... -0.01147461 -0.01123047
 -0.01135254]","[-0.00891113 -0.00891113 -0.00891113 ... -0.00793457 -0.0078125
 -0.00793457]","[-0.01281738 -0.01281738 -0.01281738 ... -0.01147461 -0.01123047
 -0.01135254]"
1.2172582149505615,0.105739,"[-0.01257324 -0.01245117 -0.01220703 ... -0.01135254 -0.01135254
 -0.01135254]","[-0.00878906 -0.00866699 -0.00854492 ... -0.00793457 -0.00793457
 -0.00793457]","[-0.01257324 -0.01245117 -0.01220703 ... -0.01135254 -0.01135254
 -0.01135254]"
